Period,Nb_Months,NB Employe,Data Length(Chars),Execution Standard (Ms), MRQ(Ms),Gain (Ms),Gain (%)
201101-201101,1,1,440,414,5,409,81.8
201101-201102,2,1,879,42,18,24,1.333333333
201101-201103,3,1,1318,52,58,-6,-0.103448276
201101-201104,4,1,1757,68,55,13,0.236363636
201101-201105,5,1,2196,60,36,24,0.666666667
201101-201106,6,1,2635,57,74,-17,-0.22972973
201101-201107,7,1,3074,26,35,-9,-0.257142857
201101-201108,8,1,3514,22,40,-18,-0.45
201101-201109,9,1,3954,17,67,-50,-0.746268657
201101-201110,10,1,4393,23,53,-30,-0.566037736
201101-201111,11,1,4835,59,101,-42,-0.415841584
201101-201112,12,1,5278,28,68,-40,-0.588235294
201101-201201,13,1,5718,40,92,-52,-0.565217391
201101-201202,14,1,6159,25,91,-66,-0.725274725
201101-201203,15,1,6599,35,178,-143,-0.803370787
201101-201204,16,1,7038,57,77,-20,-0.25974026
201101-201205,17,1,7477,27,116,-89,-0.767241379
201101-201206,18,1,7917,64,155,-91,-0.587096774
201101-201207,19,1,8357,49,120,-71,-0.591666667
201101-201208,20,1,8797,28,116,-88,-0.75862069
201101-201209,21,1,9237,32,116,-84,-0.724137931
201101-201210,22,1,9677,41,139,-98,-0.705035971
201101-201211,23,1,10121,41,129,-88,-0.682170543
201101-201212,24,1,10565,39,114,-75,-0.657894737
201101-201301,25,1,11006,54,113,-59,-0.522123894
201101-201302,26,1,11447,48,114,-66,-0.578947368
201101-201303,27,1,11888,21,215,-194,-0.902325581
201101-201304,28,1,12328,21,151,-130,-0.860927152
201101-201305,29,1,12768,40,178,-138,-0.775280899
201101-201306,30,1,13209,47,148,-101,-0.682432432
201101-201307,31,1,13650,22,150,-128,-0.853333333
201101-201308,32,1,14091,40,166,-126,-0.759036145
201101-201309,33,1,14532,47,144,-97,-0.673611111
201101-201310,34,1,14972,36,168,-132,-0.785714286
201101-201311,35,1,15416,42,147,-105,-0.714285714
201101-201312,36,1,15860,41,191,-150,-0.785340314
201101-201401,37,1,16301,50,231,-181,-0.783549784
201101-201402,38,1,16742,40,176,-136,-0.772727273
201101-201403,39,1,17183,52,191,-139,-0.727748691
201101-201404,40,1,17623,42,201,-159,-0.791044776
201101-201405,41,1,18063,51,200,-149,-0.745
201101-201406,42,1,18504,43,212,-169,-0.797169811
201101-201407,43,1,18945,42,184,-142,-0.77173913
201101-201408,44,1,19386,37,224,-187,-0.834821429
201101-201409,45,1,19827,29,239,-210,-0.878661088
201101-201410,46,1,20267,49,253,-204,-0.806324111
201101-201411,47,1,20711,44,220,-176,-0.8
201101-201412,48,1,21155,46,251,-205,-0.816733068
201101-201501,49,1,21596,45,220,-175,-0.795454545
201101-201502,50,1,22037,45,274,-229,-0.835766423
201101-201503,51,1,22478,46,264,-218,-0.825757576
201101-201504,52,1,22918,41,256,-215,-0.83984375
201101-201505,53,1,23358,41,303,-262,-0.864686469
201101-201506,54,1,23799,46,270,-224,-0.82962963
201101-201507,55,1,24240,49,357,-308,-0.862745098
201101-201508,56,1,24681,47,239,-192,-0.80334728
201101-201509,57,1,25122,104,299,-195,-0.652173913
201101-201510,58,1,25562,51,318,-267,-0.839622642
201101-201511,59,1,26006,49,283,-234,-0.826855124
201101-201512,60,1,26450,68,303,-235,-0.775577558
201101-201601,61,1,26891,82,392,-310,-0.790816327
201101-201602,62,1,27332,39,298,-259,-0.869127517
201101-201603,63,1,27773,50,291,-241,-0.828178694
201101-201604,64,1,28213,64,355,-291,-0.81971831
201101-201605,65,1,28653,64,353,-289,-0.818696884
201101-201606,66,1,29094,40,322,-282,-0.875776398
201101-201607,67,1,29535,154,357,-203,-0.568627451
201101-201608,68,1,29976,45,378,-333,-0.880952381
201101-201609,69,1,30417,61,331,-270,-0.81570997
201101-201610,70,1,30857,54,349,-295,-0.845272206
